,p.value_thi.ks,p.value_delj.ks,p.value_aj.ks,RSE_thi,RSE_delj,RSE_aj,corr_thi_to_pred_thi,corr_delj_to_pred_delj,corr_aj_to_pred_aj,aj_sign_changed,time_stamp
0,0.8319696107963263,0.2819416298082479,0.006134033421858,0.0461714774554878,0.7021256563709132,0.4073780480234862,0.9922299538706238,0.6182917832014752,0.903919709961812,0.08,68.6306517124176
1,0.571336004933722,0.469506448503778,0.0363842878749173,0.0963618910733989,0.3589671747450112,0.3140237034414506,0.9865020324733488,0.8195966116357646,0.915001434042254,0.06,68.46682786941528
2,0.571336004933722,0.2819416298082479,0.5830090612540064,0.0399503051019583,0.3017457752168399,0.1556454958651138,0.9959669164998202,0.8494686263821905,0.9296297402037236,0.04,68.38602662086487
3,0.9999923931635496,0.9942356257694902,0.7020569828664881,0.0210568045042331,0.2675054965668088,0.2130013066217284,0.993307604386166,0.8608131066167223,0.9119276484070242,0.02,68.37064528465271
4,0.8319696107963263,0.8154147124661313,0.7020569828664881,0.0101555765572421,0.3236894958159666,0.1533100424480126,0.9978184418681106,0.8327506316986545,0.9371744445633332,0.04,68.77618980407715
5,0.8319696107963263,0.5830090612540064,0.1548386665118475,0.0397450194669051,0.4177232692303136,0.271318115347372,0.992390855760916,0.7823840575803515,0.9530403991179884,0.05,68.63856482505798
6,0.0810577116134014,0.1548386665118475,0.1111952605382919,0.2572185794289474,0.6515915319972965,0.3448713521251507,0.9882425944416318,0.6518854141711863,0.8916168224020597,0.11,68.73726439476013
7,0.571336004933722,0.8154147124661313,0.0539020789312987,0.0515977375348692,0.5555749645388987,0.3895397974905399,0.9940406810244238,0.6997664535805646,0.907175590577082,0.07,68.75901103019714
8,0.571336004933722,0.9996892272702655,0.0782211579784185,0.0648236562985123,0.4987017197691549,0.3628412707092352,0.9927409283465762,0.7456371016151434,0.8829160258036718,0.07,69.19970893859863
9,0.8319696107963263,0.7020569828664881,0.1111952605382919,0.0437912476107313,0.6177546799718423,0.2288418405951428,0.993384503528365,0.6708267508825076,0.9300285057265202,0.05,69.20268130302429
10,0.9831368772656192,0.469506448503778,0.0539020789312987,0.0210026760511724,0.2312398805349584,0.4162574340995932,0.9934605263741584,0.8770763536570612,0.895712681081553,0.04,69.0386962890625
11,0.571336004933722,0.469506448503778,0.0240558028410945,0.0861689995780024,0.6687526461492436,0.4169878911181496,0.9860960544701908,0.6443140816407349,0.8941297701232467,0.08,69.12991118431091
12,0.9831368772656192,0.469506448503778,0.0539020789312987,0.0124376416437862,0.5062660901152992,0.3693961316540536,0.996337367036732,0.7311070965215778,0.913103898444237,0.06,68.98428726196289
13,0.571336004933722,0.469506448503778,0.1111952605382919,0.0501235849198951,0.3070416945094752,0.2252246019273272,0.9926557388042264,0.8499828063526291,0.9415143658537344,0.04,69.15699505805969
14,0.571336004933722,0.1548386665118475,0.0782211579784185,0.1135498701023051,0.5118682238902489,0.3514774447022847,0.9893220815892968,0.7501261897513971,0.8912827405756159,0.03,68.85111165046692
15,0.8319696107963263,0.9084105017744524,0.0363842878749173,0.0467497023169532,0.4341814917183676,0.1413629507964066,0.9944901189315984,0.7638059710080312,0.9456261129440452,0.06,69.13608384132385
16,0.9831368772656192,0.1111952605382919,0.1111952605382919,0.0341747270579362,0.4354301255227935,0.355110934728413,0.9929909191601533,0.7647642529907673,0.9140372286889444,0.05,69.60774350166321
17,0.9999923931635496,0.9084105017744524,0.7020569828664881,0.0071712173728027,0.2675632182665414,0.1973704477494958,0.9979647598650364,0.8618913726322484,0.9332024683238146,0.03,69.23070240020752
18,0.9999923931635496,0.9084105017744524,0.2111700862512757,0.0074534759519662,0.3501657758643193,0.2639753686688302,0.9982805688226776,0.8129873458063537,0.9448704297055456,0.06,69.32468557357788
19,0.9831368772656192,0.3681877860628609,0.2819416298082479,0.0276179687950752,0.6025609231858642,0.240598946307788,0.9967707305398874,0.6763558231363732,0.9252137102653456,0.07,69.1064658164978
20,0.9999923931635496,0.7020569828664881,0.2111700862512757,0.0183363872338234,0.2819546454849547,0.2910752573442736,0.9958171881733736,0.8491550137921501,0.9273970565999182,0.04,69.43882822990417
21,0.9831368772656192,0.9942356257694902,0.469506448503778,0.0174062064451087,0.7147367143091914,0.2217634701778815,0.9963673642291304,0.6326353444234196,0.9139935937817768,0.1,69.21467804908752
22,0.8319696107963263,0.5830090612540064,0.0782211579784185,0.0329245349140144,0.338060459227043,0.3227386818709125,0.9961029672190848,0.8313353189946527,0.896398337918724,0.08,69.44021201133728
23,0.8319696107963263,0.0539020789312987,0.0155771316228776,0.0666918640909915,0.6911706609324983,0.4112840859426925,0.9929942947552712,0.6414424029193191,0.9108178573600134,0.06,69.06954169273376
24,0.8319696107963263,0.5830090612540064,0.0240558028410945,0.0433635165258303,0.6746233400095487,0.3729708546225699,0.9927437050696696,0.6382358935993513,0.910701585010346,0.12,68.77618098258972
25,0.8319696107963263,0.3681877860628609,0.7020569828664881,0.0800345498796524,0.3398969537468717,0.1806704429494423,0.9920799390048728,0.8348994099145697,0.9157480843347536,0.06,68.9419617652893
26,0.8319696107963263,0.7020569828664881,0.1111952605382919,0.1094019587847522,0.834507704107611,0.2959744800820014,0.9886436858543785,0.5537614990303559,0.9098066978584948,0.11,69.04468703269958
27,0.9831368772656192,0.469506448503778,0.7020569828664881,0.0302586006304026,0.2962398480436389,0.2299359929057821,0.993591099010281,0.8475497158136611,0.914965575522487,0.07,69.18765258789062
28,0.571336004933722,0.7020569828664881,0.0037294923618311,0.0416403453176184,0.7465155756534742,0.4358253512289442,0.9966206887983357,0.59505884327432,0.8997340819334544,0.14,68.73386096954346
29,0.8319696107963263,0.3681877860628609,0.1111952605382919,0.1053908547793432,0.3605227288062883,0.2430263610037157,0.9812626339894734,0.8126831795428829,0.9320661129544092,0.02,69.16326451301575
30,0.9831368772656192,0.1111952605382919,0.1111952605382919,0.0694459467222622,1.1901358479200046,0.4894754315146089,0.9889090438595072,0.3522297359897616,0.8644067039531261,0.16,68.8219735622406
31,0.9831368772656192,0.3681877860628609,0.2111700862512757,0.0276733915198244,0.4960252976167426,0.262399835617261,0.9918215668396846,0.7388650303306077,0.9252891278797946,0.05,69.22776317596436
32,0.9999923931635496,0.469506448503778,0.1111952605382919,0.0038366664626922,0.4963562073595088,0.1701441176943824,0.9986229961146652,0.7363832186889023,0.955207840681686,0.06,68.92189192771912
33,0.1745330056980682,0.2819416298082479,0.0098781831861765,0.1184020920027683,0.5717781755602452,0.53168438293208,0.9891136987536092,0.6895246919147063,0.911905249201196,0.07,68.75107717514038
34,0.9831368772656192,0.469506448503778,0.0539020789312987,0.0369041973460839,0.3183888438649315,0.3500542136743209,0.994571778619117,0.8384962144999832,0.9513030030053082,0.05,68.64670777320862
35,0.571336004933722,0.8154147124661313,0.0782211579784185,0.1296035778578642,0.9161491140119336,0.3378832466832924,0.990787045365598,0.5315477343926868,0.9039939941790384,0.12,68.77866506576538
36,0.571336004933722,0.2111700862512757,0.0363842878749173,0.1407884396498472,1.208735316765633,0.4268690778878337,0.9882832175500866,0.3911566638651198,0.86926184939917,0.13,68.60890531539917
37,0.8319696107963263,0.8154147124661313,0.0782211579784185,0.0144048531451926,0.8117065388573789,0.2925228582630272,0.9971921800092745,0.5735414966183163,0.897128211995702,0.08,68.76041460037231
38,0.571336004933722,0.9684099261397212,0.2819416298082479,0.0234231240237853,0.5746091238129207,0.2684134556118916,0.9931097153331588,0.7102909463656377,0.8786082885890443,0.06,68.31951069831848
39,0.9831368772656192,0.8154147124661313,0.2819416298082479,0.0124458087080401,0.1787090669004724,0.2072999944245782,0.9963839711796796,0.9066911039927814,0.9407854474467232,0.05,69.01268863677979
40,0.9831368772656192,0.5830090612540064,0.1111952605382919,0.0220814741429867,0.3209229365570603,0.3732419730215891,0.9959110687202032,0.8275034913766566,0.8837962445383789,0.04,68.72358679771423
41,0.8319696107963263,0.9684099261397212,0.1111952605382919,0.0487441278409941,0.7458025375853038,0.363759877348505,0.9975447433879508,0.6287142348055632,0.910097158517714,0.15,68.90960621833801
42,0.8319696107963263,0.2819416298082479,0.1111952605382919,0.0379912525341567,0.5449778880549666,0.250007200410442,0.9956335788875592,0.7011787211288114,0.9132109668310604,0.1,68.44033885002136
43,0.8319696107963263,0.9084105017744524,0.469506448503778,0.0355952359151538,0.3987089447707695,0.4198921934479335,0.996844378740888,0.79353400782334,0.829220084091006,0.04,68.75546193122864
