,p.value_thi,p.value_delj,p.value_aj,corr_thi_to_pred_thi,corr_delj_to_pred_delj,corr_aj_to_pred_aj
0,0.1,0.05666666666666665,0.09666666666666666,0.9986351831187334,0.5868150386867212,0.7549571124073654
1,0.8079631540901643,0.2488247843957968,0.2488247843957968,0.994454021674034,0.4937170526988153,0.7745853779988476
2,0.5940706297759378,0.02651515482973004,0.5182685170344619,0.997052540667368,0.6032019204343779,0.8399421424201573
3,0.9988393756362764,0.5849809189839711,0.65357468169842,0.9991245844980212,0.6494826013705339,0.8344541197045889
4,0.8079631540901643,0.3958302746926979,0.2100574938126404,0.9974396306164264,0.5349936245148158,0.7053401082766328
5,0.9578462903438838,0.2100574938126404,0.05296383973125253,0.9975937293076428,0.4942370331866006,0.7859589232830477
6,0.8079631540901643,0.17609362474930004,0.04233971280738159,0.9971625153891406,0.4921885430637098,0.7492095125050253
7,0.9988393756362764,0.14660689047075634,0.5849809189839711,0.9975365874143786,0.3904345980931849,0.7338260780756616
8,0.39294501397971776,0.004164755648201053,0.06580849821915531,0.992432412899164,0.567701882213639,0.8099531383962102
9,0.9988393756362764,0.34165950354815394,0.65357468169842,0.9984431486647706,0.6273833618385614,0.8205987421375417
10,0.9988393756362764,0.3958302746926979,0.3958302746926979,0.9984125707075908,0.5744710808265665,0.7873210754056212
11,0.9578462903438838,0.5182685170344619,0.7220634112888834,0.9967511568589252,0.5450190826576373,0.692339579760343
12,0.9578462903438838,0.12122695053622792,0.0995625196612894,0.9972620141784267,0.6512143804864361,0.8053866648926602
13,0.8079631540901643,0.2488247843957968,0.12122695053622792,0.9985816762176296,0.6236424777197742,0.8721749989543697
14,0.9578462903438838,0.2488247843957968,0.00958895491281293,0.9984713802353536,0.5476051336152103,0.8306965985120867
15,0.8079631540901643,0.12122695053622792,0.0812184963146534,0.9981261037895,0.5327296600838395,0.82308027885665
16,0.9578462903438838,0.06580849821915531,0.2926468667924955,0.9987221227124572,0.5073716642015812,0.7800514696545504
17,0.39294501397971776,0.0207715383795562,0.2488247843957968,0.9943070176738866,0.5718397741664252,0.7974543644753369
18,0.9578462903438838,0.14660689047075634,0.5849809189839711,0.9978216146781222,0.5122365583044733,0.7984170193937372
19,0.8079631540901643,0.12122695053622792,0.0995625196612894,0.9990145166992976,0.5824865262061913,0.8057839608592609
20,0.8079631540901643,0.34165950354815394,0.2926468667924955,0.9963854949978432,0.6065416735992548,0.7206872148886982
21,0.5940706297759378,0.2488247843957968,0.2100574938126404,0.9979783054535702,0.558944478400063,0.7466366804803914
22,0.5940706297759378,0.12122695053622792,0.2926468667924955,0.9983296723579578,0.5705359241349685,0.7497598300996804
23,0.9578462903438838,0.2488247843957968,0.06580849821915531,0.9979418855041788,0.4269102295497163,0.7452340009511627
